GEOID20,District
34001040006,4
34001105104,4
34011070608,3
34011050104,3
34011070602,3
34011070607,3
34011070609,3
34011015001,3
34033050004,3
34011070205,3
34011045002,1
34009030007,1
34009030015,1
34009020006,1
34009030001,1
34009020007,1
34001070201,4
34011045001,3
34001040002,4
34001105201,4
34001105203,4
34001040018,4
34001055004,4
34001070202,4
34009020003,1
34009055001,1
34001070102,4
34001070101,4
34001070203,4
34009030009,1
34009030004,1
34009030005,1
34009030006,1
34009030017,1
34009055008,1
34001030101,4
34009055012,1
34009005001,2
34009045004,2
34009055006,2
34009055002,2
34009055007,2
34009040401,2
34001105101,4
34009040403,2
34009040402,2
34011070606,3
34011070604,3
34011070601,3
34011070610,3
34001090204,4
34001095204,4
34001075001,4
34001080004,4
34009040201,2
34009040204,2
34009040203,2
34001105202,4
34011070406,3
34011070407,3
34011070102,3
34015025004,3
34001020001,3
34011070605,3
34011070103,3
34011070101,3
34001080003,4
34001090101,4
34001090102,4
34015025009,3
34001080002,4
34001080001,4
34001110003,4
34001060011,4
34001060007,4
34001060013,4
34011010002,1
34009040102,2
34009040202,2
34009040104,2
34009040103,2
34009040101,2
34007180304,5
34007180405,5
34007180403,5
34007180201,5
34011035003,3
34033050003,3
34033050002,3
34011010003,3
34011050506,3
34011050503,3
34011050501,3
34007075035,5
34007075018,5
34007075036,5
34007075031,5
34007075019,5
34007075030,5
34007075020,5
34007180306,5
34007180401,5
34007075034,5
34007140005,5
34007140003,5
34007075017,5
34007075014,5
34007075023,5
34015055213,3
34015055415,3
34015055203,3
34015055201,3
34015055209,5
34007180402,5
34007180301,5
34011010004,3
34011025001,3
34015055319,3
34015055302,3
34015055216,3
34015055312,3
34015055214,3
34011025002,3
34011065003,3
34011025004,3
34015055318,3
34001025001,3
34001060003,3
34001025002,3
34015025010,3
34015055404,3
34015055405,3
34015025006,3
34007140002,5
34007050001,5
34001020002,3
34011050102,3
34011050101,3
34007145001,5
34007050002,5
34001115001,3
34001060005,3
34001085101,3
34015055411,3
34015055425,3
34015055408,3
34015055421,3
34007180102,3
34007180103,5
34007180305,5
34007180303,5
34007180205,5
34007025001,5
34007180203,5
34007175002,5
34007110005,5
34011050103,3
34007110002,5
34007100002,5
34007100001,5
34033000501,3
34033045001,3
34033000704,5
34011035001,3
34011065001,3
34011065004,3
34015015006,5
34015040008,5
34015120003,5
34015045001,5
34015080003,3
34015120008,5
34033035002,5
34015120007,5
34015045003,5
34015025003,3
34015025011,3
34015025002,3
34011055001,3
34011005301,3
34033055002,3
34033005501,3
34033045003,3
34033075002,3
34011005201,3
34011005302,3
34011005101,3
34011035002,3
34011005305,3
34011005304,3
34011005303,3
34033045002,3
34015080001,3
34015120001,5
34011050504,3
34011050505,3
34015100004,5
34015050009,5
34015050007,5
34015050011,5
34011005401,3
34011005402,3
34011005501,3
34015040007,5
34015040009,5
34033050005,3
34033050006,3
34015030004,5
34015040006,5
34015040005,5
34015040003,5
34015040001,5
34011065002,3
34015020002,3
34033010001,3
34015020003,3
34011005202,3
34011005203,3
34015065001,3
34015005004,3
34015025008,3
34015025001,3
34011070206,3
34015015005,5
34015035006,5
34015120006,5
34015120004,5
34015085001,5
34015085002,5
34015045004,5
34015120005,5
34033075001,3
34015045002,5
34033035001,5
34033004003,5
34033004002,5
34033040001,5
34033000705,5
34015035003,5
34011050303,3
34011050302,3
34011050502,3
34011070401,3
34011070402,3
34011070303,3
34011070302,3
34011070506,3
34011070505,3
34011070504,3
34011070503,3
34011070204,3
34011070202,3
34011070301,3
34011070106,3
34011070201,3
34011070104,3
34011070203,3
34011050202,3
34011050402,3
34011050403,3
34011050401,3
34011070603,3
34011050301,3
34011050201,3
34011070403,3
34011070105,3
34011070501,3
34011070502,3
34011070404,3
34011070405,3
34015050005,5
34015050003,5
34015090001,5
34015090002,5
34015030013,3
34015030001,3
34015030007,5
34015075005,5
34015075003,5
34015030008,5
34015020004,3
34015020001,3
34015005003,3
34015005001,3
34015030011,5
34015005005,3
34015030002,3
34015030005,5
34015075006,5
34015075001,5
34015030009,5
34015005002,3
34015030003,3
34007180404,5
34015005006,3
34015030010,5
34015030012,5
34015090004,5
34015090005,5
34015050002,5
34015055122,3
34015055123,3
34015090037,5
34015090038,5
34015090039,5
34015055326,3
34015055306,3
34015055107,3
34015055117,5
34015010014,5
34015010005,5
34015055120,5
34015055124,5
34015090034,5
34015090018,5
34015090029,5
34015090003,5
34015090028,5
34015090036,5
34015090016,5
34015090017,5
34015090009,5
34015090010,5
34015090027,5
34015090026,5
34015090025,5
34015090024,5
34015090023,5
34015090012,5
34007075039,5
34007075008,5
34015090006,5
34015010001,5
34015010003,5
34015090035,5
34015090033,5
34015090031,5
34015090032,5
34015030006,5
34015075002,5
34015115002,5
34015115001,5
34015100012,5
34015115004,5
34015010011,5
34015100018,5
34015010013,5
34015100019,5
34015095002,5
34015050004,5
34015095001,5
34015010012,5
34015115003,5
34015095003,5
34015055210,3
34015090030,5
34015090022,5
34007110006,5
34007075028,5
34007075040,5
34007075037,5
34007075038,5
34007140004,5
34007075029,5
34015090007,5
34007075007,5
34007075005,5
34007075010,5
34007075027,5
34007075033,5
34007140006,5
34015090015,5
34015090013,5
34015090011,5
34015090020,5
34015090014,5
34015090021,5
34015090019,5
34007075032,5
34007160005,5
34009045001,2
34009055015,2
34009055011,2
34009055010,1
34009055005,2
34009020002,1
34009045003,2
34009030012,1
34009030008,1
34009005003,1
34009005002,1
34009030011,1
34009030010,1
34009010005,1
34009010004,1
34009055014,2
34009055003,2
34009055004,2
34009030018,1
34009020004,1
34009020001,1
34009030003,1
34009030002,1
34009055009,2
34009025108,1
